# Step | Energy (eV) | Status
 714 |  -611.928007 | Accepted
 715 |  -611.932467 | Accepted
 716 |  -611.933454 | Accepted
 717 |  -611.934277 | Accepted
 718 |  -611.927949 | Accepted
 720 |  -611.930610 | Accepted
 721 |  -611.924166 | Accepted
 722 |  -611.923490 | Accepted
 723 |  -611.932358 | Accepted
 724 |  -611.930454 | Accepted
 725 |  -611.929841 | Accepted
 726 |  -611.926472 | Accepted
 727 |  -611.928515 | Accepted
 728 |  -611.931690 | Accepted
 729 |  -611.931002 | Accepted
 730 |  -611.929741 | Accepted
 731 |  -611.931617 | Accepted
 732 |  -611.930487 | Accepted
 734 |  -611.929516 | Accepted
 735 |  -611.929751 | Accepted
 736 |  -611.930949 | Accepted
 737 |  -611.930128 | Accepted
 740 |  -611.923907 | Accepted
 741 |  -611.928754 | Accepted
 742 |  -611.925162 | Accepted
 743 |  -611.928062 | Accepted
 744 |  -611.929613 | Accepted
 745 |  -611.928186 | Accepted
 746 |  -611.928475 | Accepted
 748 |  -611.927266 | Accepted
 749 |  -611.926129 | Accepted
 750 |  -611.931032 | Accepted
 751 |  -611.928379 | Accepted
 752 |  -611.930901 | Accepted
 753 |  -611.926529 | Accepted
 754 |  -611.933528 | Accepted
 755 |  -611.929859 | Accepted
 757 |  -611.925893 | Accepted
 758 |  -611.927197 | Accepted
 760 |  -611.926730 | Accepted
 761 |  -611.931037 | Accepted
 762 |  -611.933678 | Accepted
 763 |  -611.927381 | Accepted
 764 |  -611.927951 | Accepted
 765 |  -611.923066 | Accepted
 766 |  -611.928740 | Accepted
 767 |  -611.929079 | Accepted
 768 |  -611.930494 | Accepted
 769 |  -611.932559 | Accepted
 770 |  -611.925883 | Accepted
 771 |  -611.926630 | Accepted
 772 |  -611.929140 | Accepted
 773 |  -611.932718 | Accepted
 774 |  -611.930376 | Accepted
 775 |  -611.930781 | Accepted
 776 |  -611.932209 | Accepted
 777 |  -611.928031 | Accepted
 778 |  -611.932295 | Accepted
 779 |  -611.933603 | Accepted
 780 |  -611.933996 | Accepted
 781 |  -611.928948 | Accepted
 782 |  -611.932745 | Accepted
 783 |  -611.926413 | Accepted
 784 |  -611.929788 | Accepted
 785 |  -611.923056 | Accepted
 786 |  -611.927810 | Accepted
 788 |  -611.928464 | Accepted
 789 |  -611.930558 | Accepted
 790 |  -611.934252 | Accepted
 791 |  -611.930623 | Accepted
 794 |  -611.928116 | Accepted
 795 |  -611.931779 | Accepted
 796 |  -611.931854 | Accepted
 798 |  -611.930283 | Accepted
 799 |  -611.933848 | Accepted
 800 |  -611.924634 | Accepted
 801 |  -611.931795 | Accepted
 802 |  -611.929876 | Accepted
 803 |  -611.926319 | Accepted
 804 |  -611.928316 | Accepted
 805 |  -611.923929 | Accepted
 806 |  -611.929393 | Accepted
 808 |  -611.928428 | Accepted
 809 |  -611.930712 | Accepted
 810 |  -611.927512 | Accepted
 811 |  -611.928128 | Accepted
 812 |  -611.932909 | Accepted
 813 |  -611.927993 | Accepted
 814 |  -611.927704 | Accepted
 815 |  -611.928339 | Accepted
 816 |  -611.928896 | Accepted
 817 |  -611.928903 | Accepted
 818 |  -611.927765 | Accepted
 820 |  -611.929572 | Accepted
